,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,Alikovo,55.74,46.75,30.2,86,0,11.18,RU,2020-10-29 05:35:58
310,Qasigiannguit,68.82,-51.19,15.8,66,100,5.82,GL,2020-10-29 05:35:58
311,Meulaboh,4.14,96.13,86.56,57,100,6.71,ID,2020-10-29 05:35:58
312,Nioki,-2.72,17.68,72.39,93,73,0.76,CD,2020-10-29 05:35:58
313,Goderich,43.75,-81.72,48.2,61,78,8.05,CA,2020-10-29 05:35:58
314,Diu,20.71,70.98,85.5,41,0,7.85,IN,2020-10-29 05:35:58
315,Hukuntsi,-24.0,21.75,82.17,21,68,6.6,BW,2020-10-29 05:35:58
316,Arrecife,28.96,-13.55,68.0,77,0,11.41,ES,2020-10-29 05:35:58
317,Ibra,22.69,58.53,84.7,13,0,4.03,OM,2020-10-29 05:33:16
318,Bandarbeyla,9.49,50.81,81.93,63,0,3.6,SO,2020-10-29 05:35:58
319,Tornio,65.85,24.15,46.4,87,99,16.11,FI,2020-10-29 05:35:58
320,Naron,43.52,-8.15,55.99,93,75,6.93,ES,2020-10-29 05:35:58
321,Portree,57.41,-6.19,44.01,87,29,5.99,GB,2020-10-29 05:35:58
322,Luderitz,-26.65,15.16,63.59,51,98,18.37,NA,2020-10-29 05:35:58
323,Saryg-Sep,51.5,95.6,37.42,75,100,2.33,RU,2020-10-29 05:35:59
324,Port Lincoln,-34.73,135.87,58.32,72,86,25.21,AU,2020-10-29 05:35:59
325,Sidi Ali,36.1,0.42,57.81,66,30,3.44,DZ,2020-10-29 05:35:59
326,Ciudad Bolivar,8.12,-63.55,78.28,84,11,5.35,VE,2020-10-29 05:35:59
327,Sao Joao Da Barra,-21.64,-41.05,75.16,92,0,12.03,BR,2020-10-29 05:35:59
328,Sur,22.57,59.53,82.56,35,0,5.37,OM,2020-10-29 05:35:59
329,Negara,-8.32,114.6,84.61,72,44,6.53,ID,2020-10-29 05:35:59
330,Pisco,-13.7,-76.22,62.6,82,0,9.17,PE,2020-10-29 05:34:35
331,Hofn,64.25,-15.21,44.08,84,99,25.21,IS,2020-10-29 05:35:59
332,Ohringen,49.2,9.5,50.0,87,100,14.99,DE,2020-10-29 05:35:59
333,Camacha,33.08,-16.33,66.2,72,40,8.05,PT,2020-10-29 05:35:59
334,Ongandjera,-17.88,15.07,69.21,24,9,7.43,NA,2020-10-29 05:35:59
335,Marzuq,14.4,46.47,71.85,22,0,4.85,YE,2020-10-29 05:35:59
336,Tessalit,20.2,1.01,73.31,19,0,10.25,ML,2020-10-29 05:35:59
337,Akyab,20.15,92.9,86.58,67,86,5.14,MM,2020-10-29 05:36:00
338,Mahon,39.89,4.27,57.2,87,0,6.93,ES,2020-10-29 05:36:00
339,Kiama,-34.68,150.87,69.01,76,69,1.01,AU,2020-10-29 05:36:00
340,Ewa Beach,21.32,-158.01,77.0,78,90,5.82,US,2020-10-29 05:36:00
341,Linares,-35.85,-71.6,41.7,83,24,6.17,CL,2020-10-29 05:36:00
342,Tombouctou,20.0,-3.0,78.85,18,0,11.12,ML,2020-10-29 05:36:00
343,Gambat,27.35,68.52,77.0,65,0,2.28,PK,2020-10-29 05:36:00
344,Oranjemund,-28.55,16.43,61.72,65,100,6.06,NA,2020-10-29 05:36:00
345,Novovasylivka,46.83,35.75,53.08,79,81,12.28,UA,2020-10-29 05:36:00
346,Amahai,-3.33,128.92,84.09,68,100,4.85,ID,2020-10-29 05:36:00
347,Wassenberg,51.1,6.15,50.0,87,20,10.29,DE,2020-10-29 05:36:00
348,Bumba,2.18,22.47,70.09,98,100,2.71,CD,2020-10-29 05:36:01
349,Dodge City,37.75,-100.02,42.8,75,90,16.11,US,2020-10-29 05:36:01
350,Mumbwa,-14.98,27.06,79.29,41,0,13.44,ZM,2020-10-29 05:36:01
351,Jumla,29.27,82.18,66.25,23,0,5.59,NP,2020-10-29 05:36:01
352,Sirpur,19.48,79.6,83.79,57,16,4.52,IN,2020-10-29 05:36:01
353,Touros,-5.2,-35.46,75.2,88,0,4.7,BR,2020-10-29 05:36:01
354,Bourg-En-Bresse,46.17,5.17,52.0,95,100,3.0,FR,2020-10-29 05:36:01
355,Manyana,-23.4,21.72,79.09,21,34,4.72,BW,2020-10-29 05:36:01
356,Henties Bay,-22.12,14.28,57.0,90,55,5.01,NA,2020-10-29 05:36:01
357,Belmonte,-15.86,-38.88,77.0,83,75,10.29,BR,2020-10-29 05:36:01
358,Mwene-Ditu,-7.0,23.45,70.41,94,79,5.91,CD,2020-10-29 05:36:01
359,Rawson,-43.3,-65.1,47.16,51,0,8.34,AR,2020-10-29 05:36:02
360,Dongsheng,39.82,109.98,48.63,43,0,4.79,CN,2020-10-29 05:36:02
361,Ilulissat,69.22,-51.1,15.8,66,100,5.82,GL,2020-10-29 05:36:02
362,Den Helder,52.96,4.76,52.0,76,75,19.46,NL,2020-10-29 05:36:02
363,Iacu,-12.77,-40.21,73.15,89,100,7.81,BR,2020-10-29 05:36:02
364,Maceio,-9.67,-35.74,69.8,100,0,4.7,BR,2020-10-29 05:32:26
365,Aykhal,66.0,111.5,-0.81,87,12,3.36,RU,2020-10-29 05:31:37
366,Diez,50.37,8.02,46.0,95,96,1.01,DE,2020-10-29 05:36:02
367,Nizip,37.01,37.79,51.8,50,0,3.62,TR,2020-10-29 05:34:08
368,Burnie,-41.07,145.92,57.43,72,38,5.68,AU,2020-10-29 05:36:02
369,Ocean City,39.28,-74.57,61.0,77,90,9.75,US,2020-10-29 05:36:02
370,Aksu,41.12,80.26,57.22,33,100,0.96,CN,2020-10-29 05:36:02
371,Marsh Harbour,26.54,-77.06,80.78,80,45,13.69,BS,2020-10-29 05:35:16
372,Bathsheba,13.22,-59.52,77.0,94,75,20.8,BB,2020-10-29 05:36:03
373,Tebingtinggi,3.33,99.16,91.0,53,91,5.23,ID,2020-10-29 05:36:03
374,Muli,2.92,73.57,83.23,74,69,11.9,MV,2020-10-29 05:36:03
375,Norman Wells,65.28,-126.83,-2.2,84,75,3.36,CA,2020-10-29 05:36:03
376,Nishihara,26.18,127.76,82.0,51,75,6.93,JP,2020-10-29 05:36:03
377,Kibuye,-2.06,29.35,64.4,88,75,9.17,RW,2020-10-29 05:36:03
378,Mount Isa,-20.73,139.5,95.0,5,0,3.36,AU,2020-10-29 05:36:03
379,Owensboro,37.77,-87.11,55.4,100,90,6.93,US,2020-10-29 05:33:01
380,Yichun,47.7,128.9,37.9,72,65,7.74,CN,2020-10-29 05:36:03
381,Cascais,38.7,-9.42,62.01,74,1,4.7,PT,2020-10-29 05:36:03
382,Rocha,-34.48,-54.33,53.62,80,53,7.56,UY,2020-10-29 05:36:03
383,Torbay,47.67,-52.73,32.0,92,75,4.7,CA,2020-10-29 05:36:03
384,Copiapo,-27.37,-70.33,53.6,81,0,1.48,CL,2020-10-29 05:36:03
385,Utete,-7.99,38.76,84.04,60,82,6.15,TZ,2020-10-29 05:36:03
386,Kloulklubed,7.04,134.26,87.8,70,75,8.05,PW,2020-10-29 05:36:03
387,Phan Thiet,10.93,108.1,83.32,71,95,6.85,VN,2020-10-29 05:36:04
388,Dongning,44.06,131.12,44.6,53,3,14.81,CN,2020-10-29 05:36:04
389,Koumac,-20.57,164.28,76.69,73,77,2.35,NC,2020-10-29 05:36:04
390,Juneau,58.3,-134.42,41.0,86,75,8.05,US,2020-10-29 05:36:04
391,Sembe,1.65,14.58,71.49,94,100,1.7,CG,2020-10-29 05:36:04
392,Havre-Saint-Pierre,50.23,-63.6,30.2,74,90,6.93,CA,2020-10-29 05:36:04
393,Diamantino,-14.41,-56.45,74.17,89,100,4.92,BR,2020-10-29 05:36:04
394,Srednekolymsk,67.45,153.68,7.38,93,74,5.57,RU,2020-10-29 05:36:04
395,Acurenam,1.03,10.65,68.32,98,99,0.29,GQ,2020-10-29 05:36:05
396,Zhezkazgan,47.8,67.71,38.3,65,56,6.49,KZ,2020-10-29 05:36:05
397,Lakes Entrance,-37.88,147.98,68.0,76,5,5.01,AU,2020-10-29 05:36:05
398,Tarko-Sale,64.92,77.78,2.48,90,0,3.83,RU,2020-10-29 05:36:05
399,Beringovskiy,63.05,179.32,26.17,88,6,9.95,RU,2020-10-29 05:36:05
400,Seoul,37.57,126.98,62.6,22,1,5.82,KR,2020-10-29 05:36:05
401,Krasnyy Chikoy,50.36,108.75,44.51,52,74,2.55,RU,2020-10-29 05:36:05
402,La Romana,18.43,-68.97,82.4,74,40,9.17,DO,2020-10-29 05:36:05
403,Coihaique,-45.58,-72.07,37.4,86,0,3.36,CL,2020-10-29 05:36:05
404,Lincoln,40.8,-96.67,42.01,80,99,5.99,US,2020-10-29 05:36:05
405,Palauig,15.44,119.9,83.43,75,100,3.85,PH,2020-10-29 05:36:05
406,Dzilam Gonzalez,21.28,-88.93,73.96,95,54,2.84,MX,2020-10-29 05:36:06
407,Viedma,-40.81,-63.0,44.98,59,0,6.82,AR,2020-10-29 05:36:06
408,Pizarro,4.95,-77.37,73.63,89,100,4.32,CO,2020-10-29 05:36:06
409,Hay River,60.82,-115.8,21.2,85,65,5.82,CA,2020-10-29 05:36:06
410,Saint George,37.1,-113.58,57.2,22,1,3.94,US,2020-10-29 05:36:06
411,Vila Do Maio,15.13,-23.22,77.0,88,0,12.75,CV,2020-10-29 05:36:06
412,Eureka,40.8,-124.16,48.99,81,1,4.7,US,2020-10-29 05:33:40
413,Diego De Almagro,-26.37,-70.05,49.3,49,0,1.45,CL,2020-10-29 05:36:06
414,Boralday,43.36,76.86,41.0,38,40,2.24,KZ,2020-10-29 05:36:06
415,Invercargill,-46.4,168.35,63.0,70,27,1.99,NZ,2020-10-29 05:34:38
416,Praia Da Vitoria,38.73,-27.07,68.0,100,40,23.22,PT,2020-10-29 05:36:06
417,Santo Antonio Do Ica,-3.1,-67.94,75.78,88,38,1.74,BR,2020-10-29 05:36:06
418,Kathu,7.92,98.33,84.0,78,40,13.87,TH,2020-10-29 05:36:06
419,Andros Town,24.7,-77.77,80.6,83,20,6.93,BS,2020-10-29 05:36:06
420,Ahuimanu,21.44,-157.84,77.0,94,90,9.17,US,2020-10-29 05:36:06
421,Harer,9.31,42.13,69.66,23,0,3.49,ET,2020-10-29 05:36:07
422,Ust-Kan,50.93,84.76,27.25,84,78,8.7,RU,2020-10-29 05:36:07
423,Mushie,-3.02,16.9,73.22,92,99,0.85,CD,2020-10-29 05:35:39
424,Melfort,52.87,-104.62,26.6,79,0,6.93,CA,2020-10-29 05:36:07
425,Wangqing,43.32,129.76,45.77,49,0,9.51,CN,2020-10-29 05:36:07
426,Ingham,42.6,-84.38,42.01,75,1,3.22,US,2020-10-29 05:36:07
427,Ostrovnoy,68.05,39.51,40.23,90,100,20.8,RU,2020-10-29 05:36:07
428,Nemuro,43.32,145.57,51.8,87,40,5.82,JP,2020-10-29 05:36:07
429,Souillac,-20.52,57.52,80.01,56,78,10.0,MU,2020-10-29 05:36:07
430,Mpika,-11.83,31.45,73.67,47,65,15.99,ZM,2020-10-29 05:36:08
431,Yatou,37.15,122.38,59.72,34,91,10.6,CN,2020-10-29 05:36:08
432,Nimaparha,20.07,86.02,86.02,41,2,8.81,IN,2020-10-29 05:36:08
433,Huntsville,34.73,-86.59,73.4,94,90,13.87,US,2020-10-29 05:33:33
434,Mayo,38.89,-76.51,62.01,87,90,3.36,US,2020-10-29 05:36:08
435,Concarneau,47.88,-3.92,55.4,93,90,9.17,FR,2020-10-29 05:36:08
436,Mingyue,43.11,128.92,44.11,51,0,12.84,CN,2020-10-29 05:36:08
437,Oussouye,12.48,-16.55,78.13,77,83,5.64,SN,2020-10-29 05:36:09
438,Opuwo,-18.06,13.84,70.95,23,36,6.64,NA,2020-10-29 05:36:09
439,Hammerfest,70.66,23.68,37.4,86,75,13.87,NO,2020-10-29 05:36:09
440,Turtas,58.94,69.13,32.59,96,100,12.12,RU,2020-10-29 05:36:09
441,Drayton Valley,53.22,-114.99,36.0,85,100,6.49,CA,2020-10-29 05:36:09
442,Constitucion,-35.33,-72.42,48.78,72,0,7.09,CL,2020-10-29 05:36:09
443,Portland,45.52,-122.68,53.01,87,20,3.36,US,2020-10-29 05:35:00
444,Weligama,5.97,80.42,86.09,64,90,9.46,LK,2020-10-29 05:36:09
445,Waitakere,-36.92,174.66,66.99,72,94,11.41,NZ,2020-10-29 05:36:09
446,Kaduqli,11.02,29.72,82.9,30,0,6.67,SD,2020-10-29 05:36:09
447,Derbent,42.07,48.29,63.07,76,11,2.68,RU,2020-10-29 05:36:09
448,Mana,5.66,-53.78,78.96,86,75,10.69,GF,2020-10-29 05:36:09
449,Harper,4.38,-7.72,77.14,89,98,5.46,LR,2020-10-29 05:36:09
450,Camocim,-2.9,-40.84,75.81,88,39,11.5,BR,2020-10-29 05:36:09
451,Guararapes,-21.26,-50.64,75.85,78,60,6.02,BR,2020-10-29 05:36:10
452,Gravdal,68.12,13.5,37.4,93,20,2.24,NO,2020-10-29 05:36:10
453,Grand Forks,47.94,-97.43,26.6,86,90,2.68,US,2020-10-29 05:36:10
454,Boguchany,58.38,97.45,34.45,86,86,11.48,RU,2020-10-29 05:36:10
455,Gaeta,41.22,13.56,52.0,73,0,5.12,IT,2020-10-29 05:36:10
456,Meadow Lake,34.8,-106.54,37.4,74,1,3.36,US,2020-10-29 05:36:10
457,Gladstone,-23.85,151.25,91.4,15,0,10.29,AU,2020-10-29 05:31:32
458,Pevek,69.7,170.31,18.34,94,100,14.05,RU,2020-10-29 05:36:10
459,Toora-Khem,52.47,96.11,35.4,73,99,2.42,RU,2020-10-29 05:36:10
460,Olinda,-8.01,-34.86,80.6,74,75,8.05,BR,2020-10-29 05:35:39
461,Poltavka,54.37,71.76,33.76,93,100,12.46,RU,2020-10-29 05:36:10
462,Acari,-15.43,-74.62,64.18,71,47,3.87,PE,2020-10-29 05:36:10
463,Breisach,48.03,7.58,54.0,87,100,11.41,DE,2020-10-29 05:36:10
464,Ahipara,-35.17,173.17,63.05,90,100,5.91,NZ,2020-10-29 05:36:10
465,Tiksi,71.69,128.87,1.76,91,98,13.42,RU,2020-10-29 05:36:10
466,Russell,32.35,-85.2,78.8,74,90,17.22,US,2020-10-29 05:36:11
467,Lebu,-37.62,-73.65,47.75,80,0,20.07,CL,2020-10-29 05:36:11
468,Floro,61.6,5.03,50.0,81,100,9.17,NO,2020-10-29 05:36:11
469,Vardo,70.37,31.11,37.4,86,75,9.17,NO,2020-10-29 05:36:11
470,Wentzville,38.81,-90.85,46.0,96,100,11.48,US,2020-10-29 05:36:11
471,Synya,65.37,58.04,40.44,92,100,15.28,RU,2020-10-29 05:36:11
472,Port Macquarie,-31.43,152.92,61.0,93,90,4.7,AU,2020-10-29 05:36:11
473,Beloha,-25.17,45.05,79.45,53,12,18.37,MG,2020-10-29 05:36:11
474,Pangnirtung,66.15,-65.71,11.37,83,74,4.14,CA,2020-10-29 05:36:11
475,Havoysund,71.0,24.66,37.4,95,0,20.8,NO,2020-10-29 05:36:11
476,Lahaina,20.88,-156.68,82.4,73,90,11.41,US,2020-10-29 05:35:16
477,Linhares,-19.39,-40.07,75.11,93,99,5.17,BR,2020-10-29 05:36:11
478,Conde,-7.26,-34.91,77.0,83,40,5.82,BR,2020-10-29 05:36:11
479,Finschhafen,-6.6,147.87,84.67,69,88,7.83,PG,2020-10-29 05:36:11
480,Progreso,21.28,-89.67,79.0,94,75,4.7,MX,2020-10-29 05:36:11
481,Rincon,32.3,-81.24,78.8,83,75,12.75,US,2020-10-29 05:36:12
482,San Quintin,30.48,-115.95,60.87,53,0,3.91,MX,2020-10-29 05:36:12
483,Necochea,-38.55,-58.74,51.01,73,28,15.99,AR,2020-10-29 05:33:02
484,Cidreira,-30.18,-50.21,67.1,84,53,6.98,BR,2020-10-29 05:36:12
485,Anadyr,64.75,177.48,10.4,92,40,4.47,RU,2020-10-29 05:36:12
486,Khromtau,50.25,58.43,40.78,63,6,7.78,KZ,2020-10-29 05:36:12
487,Charlottetown,46.24,-63.13,37.0,74,90,3.36,CA,2020-10-29 05:35:11
488,Marinette,45.1,-87.63,41.0,75,90,10.29,US,2020-10-29 05:32:00
489,Bengkulu,-3.8,102.27,84.15,67,98,7.58,ID,2020-10-29 05:36:12
490,Maragogi,-9.01,-35.22,74.12,86,93,7.0,BR,2020-10-29 05:36:12
491,Mattawa,46.74,-119.9,42.8,86,1,3.36,US,2020-10-29 05:33:08
492,Torrelavega,43.35,-4.05,53.01,96,57,1.99,ES,2020-10-29 05:36:12
493,Lazurne,46.08,32.53,50.0,100,90,6.71,UA,2020-10-29 05:36:13
494,Staroye Drozhzhanoye,54.73,47.57,34.9,80,0,9.66,RU,2020-10-29 05:36:13
495,Binga,-17.62,27.34,84.43,37,0,11.54,ZW,2020-10-29 05:36:13
496,Chapais,49.78,-74.85,24.8,92,90,11.41,CA,2020-10-29 05:36:13
497,Boffa,10.17,-14.03,74.16,94,52,2.57,GN,2020-10-29 05:36:13
498,Korla,41.76,86.15,56.26,35,99,6.87,CN,2020-10-29 05:36:13
499,Brae,60.4,-1.35,50.0,87,75,11.41,GB,2020-10-29 05:36:13
500,Wagar,16.15,36.2,84.78,40,0,11.43,SD,2020-10-29 05:36:13
501,Albion,42.24,-84.75,41.0,75,1,3.76,US,2020-10-29 05:36:13
502,Pulandian,39.4,121.97,62.6,42,0,8.95,CN,2020-10-29 05:36:13
503,Tual,-5.67,132.75,83.01,69,71,1.57,ID,2020-10-29 05:36:13
504,Kieta,-6.22,155.63,82.83,73,100,1.03,PG,2020-10-29 05:36:13
505,Juarez,31.73,-106.48,46.99,70,1,4.7,MX,2020-10-29 05:35:57
506,Ponta Delgada,37.73,-25.67,66.2,88,75,14.99,PT,2020-10-29 05:36:14
507,Beyneu,45.32,55.2,46.53,56,79,19.15,KZ,2020-10-29 05:36:14
508,Montevideo,-34.83,-56.17,57.2,67,0,11.41,UY,2020-10-29 05:31:21
509,Nara,34.69,135.8,71.6,37,75,8.05,JP,2020-10-29 05:36:14
510,Ulaangom,49.98,92.07,41.04,60,81,4.16,MN,2020-10-29 05:36:14
511,Allada,6.67,2.15,78.8,94,40,3.36,BJ,2020-10-29 05:36:14
512,Caconda,-13.73,15.07,63.86,87,57,4.38,AO,2020-10-29 05:36:14
513,Terre-De-Bas,15.85,-61.64,78.8,88,100,4.7,GP,2020-10-29 05:36:14
514,Eucaliptus,-17.58,-67.52,45.05,48,13,1.79,BO,2020-10-29 05:36:14
515,Samarai,-10.62,150.67,82.8,73,76,8.48,PG,2020-10-29 05:36:14
516,Naze,28.37,129.48,80.6,78,75,8.05,JP,2020-10-29 05:36:14
517,Jutai,-5.18,-68.9,75.81,89,43,1.21,BR,2020-10-29 05:36:14
518,Chara,56.91,118.26,15.67,92,80,0.96,RU,2020-10-29 05:36:14
519,Birpur,26.52,87.02,86.99,42,0,4.43,IN,2020-10-29 05:36:14
520,Anloga,5.79,0.9,75.2,94,20,2.24,GH,2020-10-29 05:36:14
521,Akhmim,26.56,31.75,69.8,73,0,3.36,EG,2020-10-29 05:36:15
522,Waw,7.7,28.0,81.61,66,0,1.63,SS,2020-10-29 05:36:15
523,Iqaluit,63.75,-68.51,15.8,66,90,14.99,CA,2020-10-29 05:36:15
524,Bajna,27.9,77.68,86.83,15,0,1.81,IN,2020-10-29 05:36:15
525,Les Cayes,18.2,-73.75,78.12,81,17,0.74,HT,2020-10-29 05:36:15
526,Suratgarh,29.32,73.9,87.35,13,0,5.01,IN,2020-10-29 05:36:15
527,Lazaro Cardenas,17.96,-102.2,77.32,89,8,3.38,MX,2020-10-29 05:36:15
528,Cayenne,4.93,-52.33,77.0,100,0,2.24,GF,2020-10-29 05:36:15
529,Thurso,58.59,-3.53,42.8,87,68,2.24,GB,2020-10-29 05:36:15
530,Petropavlovskoye,52.07,84.11,31.57,88,98,18.97,RU,2020-10-29 05:36:15
531,Tuni,17.35,82.55,86.11,48,19,5.21,IN,2020-10-29 05:36:15
532,Awjilah,29.11,21.29,64.15,73,0,2.3,LY,2020-10-29 05:36:15
533,Olot,42.18,2.49,52.0,99,62,1.01,ES,2020-10-29 05:36:15
534,Skaerbaek,55.16,8.77,50.0,93,75,10.29,DK,2020-10-29 05:36:15
535,Roald,62.58,6.13,44.6,93,100,4.7,NO,2020-10-29 05:36:15
536,Kasongo-Lunda,-6.47,16.82,72.88,89,72,1.79,CD,2020-10-29 05:36:16
537,Angoche,-16.23,39.91,82.74,59,0,6.64,MZ,2020-10-29 05:36:16
538,Iralaya,15.0,-83.23,80.22,86,0,7.81,HN,2020-10-29 05:36:16
539,College,64.86,-147.8,19.99,85,90,3.36,US,2020-10-29 05:36:16
540,Port Hardy,50.7,-127.42,50.0,100,90,4.7,CA,2020-10-29 05:36:16
541,Hokitika,-42.72,170.97,58.41,93,100,7.7,NZ,2020-10-29 05:36:16
542,Galle,6.04,80.22,84.02,70,83,9.71,LK,2020-10-29 05:36:16
543,Saint-Pierre,-21.34,55.48,75.2,73,75,23.04,RE,2020-10-29 05:35:00
544,Dzaoudzi,-12.79,45.27,82.4,74,75,3.36,YT,2020-10-29 05:36:16
545,Cracow,43.74,-82.82,46.0,70,1,5.82,US,2020-10-29 05:36:16
546,Laguna,38.42,-121.42,55.0,58,1,1.39,US,2020-10-29 05:36:16
547,Nantucket,41.28,-70.1,55.38,74,100,12.17,US,2020-10-29 05:34:48
548,Hedaru,-4.5,37.9,74.91,65,97,5.86,TZ,2020-10-29 05:36:16
549,Magadi,12.97,77.23,82.99,44,38,7.47,IN,2020-10-29 05:36:16
550,Rudnogorsk,57.26,103.75,35.06,81,88,9.62,RU,2020-10-29 05:36:16
551,Ambon,-3.7,128.18,83.55,70,82,4.76,ID,2020-10-29 05:36:17
552,Akabira,43.55,142.05,50.0,49,75,9.17,JP,2020-10-29 05:36:17
553,Taltal,-25.4,-70.48,54.48,77,37,0.09,CL,2020-10-29 05:36:17
554,Saint Anthony,45.02,-93.22,39.2,74,90,8.05,US,2020-10-29 05:32:24
555,Kargasok,59.06,80.86,12.07,93,97,9.06,RU,2020-10-29 05:36:17
556,Sambava,-14.27,50.17,79.56,67,19,13.13,MG,2020-10-29 05:36:17
557,Panlaitan,12.12,119.85,84.94,71,24,8.57,PH,2020-10-29 05:36:17
558,Ixtapa,20.7,-105.2,80.6,78,75,2.08,MX,2020-10-29 05:36:17
559,Brainerd,46.36,-94.2,32.0,97,90,9.17,US,2020-10-29 05:36:17
560,Luebo,-5.35,21.42,73.47,84,88,2.46,CD,2020-10-29 05:36:17
561,Coahuayana,18.73,-103.68,76.95,88,36,2.13,MX,2020-10-29 05:36:17
562,Gushikawa,26.35,127.87,82.0,65,75,9.17,JP,2020-10-29 05:36:18
563,Muros,42.78,-9.06,55.99,93,50,3.0,ES,2020-10-29 05:36:18
